first_name,last_name,id,email,user_id,age,occupation,financial_goals,risk_tolerance,financial_preference,financial_options,financial_knowledge,investment_period,income_source,income_average,expenses_average,saving_plan,monthly_contribution
Francisco javier,Paniagua,590713,Nkumxjv.zoxzb@gmail.com,590713,56,Músico,Otros,Arriesgado,Inversión,ETFS,Avanzado,3,Independiente,440719,293234,True,84
Julio,Borrás,155071,Dzuujovj.nffiuvoea@outlook.com,155071,32,Modelos de moda,Libertad financiera,Moderado,Ahorro,Opción ahorro,Intermedio,3,Dependiente,700058,442873,True,27
Olimpia,Morcillo,349811,Sihecxmr.srtgi@hotmail.com,349811,19,Agrónomo,Proyectos largo plazo,Arriesgado,Inversión,CDF,Ninguno,9,Independiente,599770,503437,True,99
Baltasar,Escobar,669775,Vqsaaj.uonaxx@yahoo.com,669775,41,Agente de seguros,Otros,Conservador,Inversión,Otros,Avanzado,3,Dependiente,603429,511925,True,11
Gonzalo,Torrecilla,676269,Rtpw.mfqpwxgwqn@gmail.com,676269,29,Ingeniero civil,Proyectos largo plazo,Conservador,Inversión,ETFS,Ninguno,6,Ambos,698104,401885,True,9
Rico,Carpio,752064,Rikz.udrkw@hotmail.com,752064,34,Chapistas y caldereros,Otros,Conservador,Ahorro,Opción ahorro,Intermedio,6,Independiente,428120,307520,True,17
Eligio,Valle,340458,Sgdzclwi.pshcwnf@gmail.com,340458,49,Operador,Proyectos largo plazo,Arriesgado,Inversión,CDEARS,Básico,3,Dependiente,517752,498045,True,11
Agapito,Ramírez,445580,Kfwloscv.chhbgft@gmail.com,445580,62,Ingeniero mecánico,Imprevistos,Arriesgado,Inversión,ETFS,Intermedio,9,Ambos,740281,640856,True,82
Sabas,Cabeza,556361,Shbdwagj.iesnr@yahoo.com,556361,53,Actor,Educación,Conservador,Ahorro,Opción ahorro,Ninguno,12,Independiente,647309,370533,True,88
Jordi,Mora,110331,Vswqxp.hcylbkmi@hotmail.com,110331,64,Dentista,Libertad financiera,Conservador,Inversión,Otros,Básico,9,Ambos,725715,382787,True,36
Edgardo,Arellano,311297,Elcu.pdaxt@hotmail.com,311297,21,Fisioterapeuta,Imprevistos,Conservador,Ahorro,Opción ahorro,Intermedio,6,Dependiente,886044,568504,True,84
Bautista,Barreda,641401,Nhwa.msgem@gmail.com,641401,30,Sociólogos,Jubilación,Conservador,Ahorro,Opción ahorro,Básico,9,Dependiente,564612,365442,True,61
Judith,Fernández,825245,Euzlbgoh.fpmddxod@outlook.com,825245,67,Conserje,Libertad financiera,Conservador,Ahorro,Opción ahorro,Ninguno,9,Independiente,368566,243128,True,36
Emperatriz,Jara,949996,Bsoabgbu.voexo@yahoo.com,949996,55,Otros,Vacaciones,Arriesgado,Ahorro,Opción ahorro,Avanzado,3,Jubilación,686570,414602,True,11
Cayetano,Rosado,707040,Dzaqb.nkhqp@gmail.com,707040,70,Veterinario,Vacaciones,Moderado,Inversión,Acciones,Avanzado,9,Independiente,434227,251070,True,70
Priscila,Bravo,936399,Bmhm.pxuiw@yahoo.com,936399,51,Profesionales del trabajo social,Libertad financiera,Arriesgado,Inversión,ETFS,Intermedio,6,Independiente,494522,436436,True,15
Teobaldo,Paniagua,442536,Gxjjatc.jgfpey@yahoo.com,442536,42,Operadores de equipos ópticos y electrónicos,Educación,Arriesgado,Inversión,CDEARS,Básico,12,Independiente,688340,444799,True,55
Fulgencio,Pérez,903129,Acndc.hyhqvjbdwq@hotmail.com,903129,26,Fisioterapeuta,Jubilación,Moderado,Inversión,CDEARS,Intermedio,9,Ambos,416918,322829,True,11
Nazaret,Manjón,401972,Wpknrk.cxvhch@hotmail.com,401972,34,Ingeniero químico,Proyectos largo plazo,Moderado,Inversión,Acciones,Intermedio,9,Dependiente,363652,290846,True,17
Silvestre,Segura,689992,Vdqqjbat.qlgygda@hotmail.com,689992,41,Escritor,Vacaciones,Conservador,Ahorro,Opción ahorro,Básico,6,Dependiente,419096,211493,True,28
Julio césar,Lobato,252016,Dlaghs.gddglr@outlook.com,252016,25,Estadístico,Proyectos largo plazo,Moderado,Ahorro,Opción ahorro,Avanzado,12,Dependiente,875512,530632,True,94
Jacobo,Elías,688938,Qcocpo.tsoiiuzbl@yahoo.com,688938,58,Programador informático,Imprevistos,Conservador,Ahorro,Opción ahorro,Ninguno,12,Jubilación,605203,327375,True,36
Ángel,Nadal,229906,Dkvgr.mzrlz@outlook.com,229906,27,Agentes comerciales y corredores,Educación,Moderado,Ahorro,Opción ahorro,Avanzado,9,Ambos,289943,238574,True,50
Goyo,Marquez,912393,Pblbuuec.roxhekkz@yahoo.com,912393,60,Otros,Educación,Moderado,Ahorro,Opción ahorro,Intermedio,3,Independiente,747584,401565,True,12
Luis,Alcaraz,432656,Xqaxfafg.wrkphdkve@yahoo.com,432656,49,Bombero,Educación,Arriesgado,Ahorro,Opción ahorro,Avanzado,3,Jubilación,750159,521983,True,48
Prudencia,Adán,576958,Adngxfs.hszjzdom@gmail.com,576958,58,Locutores de radio y televisión y afines,Vacaciones,Conservador,Inversión,Otros,Ninguno,3,Ambos,703299,489927,True,74
Celestina,Arranz,788097,Eqlaorfr.cplmycgilk@yahoo.com,788097,42,Cocinero,Jubilación,Conservador,Ahorro,Opción ahorro,Intermedio,9,Independiente,681168,380123,True,2
Marcela,Tomás,435107,Ynoo.vlkagajtf@gmail.com,435107,32,Cartógrafos y agrimensores,Educación,Conservador,Inversión,Otros,Ninguno,12,Ambos,696231,444518,True,81
Lourdes,Serrano,330305,Dfqv.whfscwe@gmail.com,330305,45,Arquitecto,Jubilación,Moderado,Inversión,Acciones,Intermedio,9,Ambos,573913,494705,True,56
Desiderio,Duarte,192722,Pzvedagc.gyzna@hotmail.com,192722,19,Estudiante,Jubilación,Arriesgado,Ahorro,Opción ahorro,Ninguno,6,Independiente,398598,326268,True,19
Nazaret,Pujadas,422985,Lfcxfwy.uxjlysfuv@yahoo.com,422985,55,Farmacéutico,Otros,Moderado,Inversión,Acciones,Ninguno,3,Dependiente,601699,505479,True,10
Soledad,Palomo,610560,Ngmw.ekxughfpui@hotmail.com,610560,24,Geólogo,Jubilación,Moderado,Ahorro,Opción ahorro,Intermedio,12,Dependiente,407859,315893,True,91
Íñigo,Olivé,260225,Viveuig.zjfqpgsc@hotmail.com,260225,69,Arquitecto,Jubilación,Conservador,Ahorro,Opción ahorro,Básico,12,Jubilación,291725,273032,True,77
Raquel,Ros,367403,Zsyew.sffvswtgg@hotmail.com,367403,55,Biólogo,Libertad financiera,Arriesgado,Inversión,ETFS,Intermedio,12,Jubilación,409576,261854,True,91
Mar,Quirós,279731,Hfcs.pqvdluc@outlook.com,279731,49,Piloto,Libertad financiera,Conservador,Inversión,Acciones,Intermedio,9,Independiente,719176,684462,True,33
Francisco javier,Perera,741358,Gecbipzl.jisnaeqxt@outlook.com,741358,51,Estadístico,Imprevistos,Conservador,Ahorro,Opción ahorro,Básico,12,Ambos,497814,251326,True,6
Graciana,Escrivá,752654,Ycpst.tafzblszcq@yahoo.com,752654,23,Otros,Libertad financiera,Moderado,Inversión,Acciones,Intermedio,3,Dependiente,324120,282689,True,36
Nélida,Amorós,664579,Zogr.quoqqj@hotmail.com,664579,35,Ingenieros de minas,Vacaciones,Arriesgado,Ahorro,Opción ahorro,Ninguno,9,Independiente,873286,604612,True,8
Francisco,Font,431842,Mzpzyn.ssyphqdri@gmail.com,431842,32,Directores general,Libertad financiera,Conservador,Inversión,CDF,Ninguno,12,Dependiente,824131,807836,True,15
Dafne,Roca,915429,Gexd.ynwmoyv@yahoo.com,915429,62,Operador,Imprevistos,Moderado,Inversión,Otros,Intermedio,3,Jubilación,376824,373930,True,84
Alondra,Salas,733080,Iyucjr.pnalfkur@gmail.com,733080,38,Veterinario,Libertad financiera,Moderado,Ahorro,Opción ahorro,Ninguno,9,Independiente,487277,340109,True,83
Ofelia,Amo,545768,Johgh.uwktyw@yahoo.com,545768,25,Cartógrafos y agrimensores,Educación,Arriesgado,Inversión,CDEARS,Básico,3,Independiente,768305,696541,True,53
Marciano,Vallejo,352086,Wourrwj.jmlgqyc@yahoo.com,352086,53,Dentista,Otros,Conservador,Inversión,CDF,Ninguno,6,Dependiente,613620,493460,True,19
Graciela,Hervia,489169,Btqcjr.hofjsvbjva@hotmail.com,489169,36,Cocinero,Vacaciones,Conservador,Ahorro,Opción ahorro,Básico,9,Independiente,535604,487695,True,56
Nilo,Echeverría,237217,Zqpbjiuf.ewguoisxvb@hotmail.com,237217,66,Técnicos en seguridad aeronáutica,Proyectos largo plazo,Moderado,Inversión,Bonos,Avanzado,9,Dependiente,758405,414844,True,50
Lorenza,Jerez,667521,Xtry.pmfjot@outlook.com,667521,50,Otros,Imprevistos,Moderado,Inversión,CDEARS,Básico,6,Dependiente,556395,467235,True,61
Yéssica,Bru,790203,Tfuu.hfzikvp@outlook.com,790203,32,Veterinario,Proyectos largo plazo,Arriesgado,Ahorro,Opción ahorro,Ninguno,12,Independiente,811962,733498,True,63
Aarón,Cuevas,252745,Vlrw.uehwqdhmv@outlook.com,252745,28,Agentes público,Otros,Moderado,Ahorro,Opción ahorro,Avanzado,3,Dependiente,504672,427515,True,83
Matilde,Aparicio,336955,Saimsy.ctinec@yahoo.com,336955,47,Actor,Vacaciones,Conservador,Ahorro,Opción ahorro,Básico,6,Independiente,747652,489452,True,18
Ester,Asensio,919912,Srojkk.ibvrkltlnz@hotmail.com,919912,21,Personal doméstico,Libertad financiera,Moderado,Ahorro,Opción ahorro,Intermedio,3,Dependiente,388370,233856,True,60
Emiliana,Ibarra,179964,Bwcr.awlpe@gmail.com,179964,62,Contador,Proyectos largo plazo,Arriesgado,Ahorro,Opción ahorro,Avanzado,6,Independiente,718752,655131,True,10
América,Arco,810384,Vosouu.wcnyx@yahoo.com,810384,70,Conductor,Vacaciones,Arriesgado,Ahorro,Opción ahorro,Avanzado,12,Independiente,635550,500182,True,52
Vito,Espada,847403,Sxnwll.pnbihk@outlook.com,847403,42,Mozos y taberneros,Vacaciones,Conservador,Ahorro,Opción ahorro,Básico,12,Ambos,521863,508954,True,49
Chus,Doménech,615319,Omoeidi.yqdbjqh@hotmail.com,615319,29,Mecánico,Vivienda,Conservador,Inversión,ETFS,Ninguno,9,Independiente,483025,283211,True,85
Marcial,Jordá,200070,Ychctz.tgkhrlla@gmail.com,200070,50,Veterinario,Otros,Moderado,Ahorro,Opción ahorro,Intermedio,6,Independiente,765220,408134,True,27
Rufino,Arranz,137471,Wqdxpkcn.nyputwzh@gmail.com,137471,64,Creadores y analistas de sistemas informáticos,Jubilación,Arriesgado,Inversión,Bonos,Avanzado,12,Dependiente,435171,225444,True,89
Leocadia,Pintor,215038,Hebaf.uubmb@yahoo.com,215038,30,Sociólogos,Vivienda,Conservador,Inversión,CDEARS,Avanzado,12,Dependiente,721996,476711,True,89
Efraín,Barbero,266211,Qcuaxjxl.xtetvrsow@yahoo.com,266211,37,Fisioterapeuta,Libertad financiera,Conservador,Inversión,CDF,Básico,9,Ambos,642037,550332,True,5
Mariana,Arjona,260066,Ibxfvs.ncwtdqjlel@yahoo.com,260066,37,Locutores de radio y televisión y afines,Jubilación,Arriesgado,Ahorro,Opción ahorro,Básico,6,Dependiente,647534,638411,True,91
Anabel,Piquer,129863,Vqcxh.vqiixfbz@outlook.com,129863,56,Cocinero,Jubilación,Moderado,Ahorro,Opción ahorro,Avanzado,12,Independiente,355286,304917,True,6
Rafa,Sanchez,385310,Qcosfckj.ycglqdaef@gmail.com,385310,31,Agentes comerciales y corredores,Otros,Conservador,Inversión,Bonos,Intermedio,12,Independiente,701593,678307,True,51
Sol,Blanes,424920,Eslkfee.txnmskl@gmail.com,424920,21,Actor,Libertad financiera,Conservador,Inversión,CDEARS,Avanzado,6,Ambos,567143,545402,True,49
Cloe,Melero,141829,Bpufxdi.ezffbgvf@outlook.com,141829,24,Otros,Vacaciones,Moderado,Inversión,Bonos,Básico,12,Ambos,773368,532320,True,52
Pepito,Carnero,549537,Qmdtrbiz.gqzgh@hotmail.com,549537,51,Personal doméstico,Proyectos largo plazo,Conservador,Inversión,ETFS,Intermedio,3,Independiente,789858,626705,True,63
Reyes,Cabeza,972038,Eptyquky.zmiee@outlook.com,972038,64,Programador informático,Educación,Conservador,Ahorro,Opción ahorro,Avanzado,6,Independiente,414482,389203,True,72
Candelas,Berrocal,587080,Ylcoujip.sxlbazds@hotmail.com,587080,59,Agente inmobiliario,Imprevistos,Conservador,Inversión,CDEARS,Ninguno,12,Dependiente,676516,592159,True,74
Telmo,Fabregat,861767,Woprisb.ooajdk@yahoo.com,861767,46,Químico,Otros,Conservador,Inversión,CDF,Ninguno,6,Dependiente,693818,579989,True,59
Prudencia,Gisbert,716299,Fnaji.ydhcboytc@hotmail.com,716299,25,Farmacéutico,Otros,Moderado,Ahorro,Opción ahorro,Ninguno,9,Independiente,344529,262103,True,98
Mario,Pomares,495953,Qzukkze.ithikpuagu@hotmail.com,495953,54,Fotógrafo,Libertad financiera,Arriesgado,Inversión,Bonos,Básico,9,Independiente,535221,413842,True,34
Clotilde,Cabrera,706519,Enjuwmb.jivmfz@outlook.com,706519,59,Psicólogos,Vacaciones,Arriesgado,Inversión,Bonos,Avanzado,6,Dependiente,558302,425509,True,94
Toño,Ródenas,457596,Eozb.okpvycr@yahoo.com,457596,70,Agricultor,Proyectos largo plazo,Moderado,Ahorro,Opción ahorro,Ninguno,12,Ambos,347267,193614,True,6
Cosme,Vega,594400,Ytqkt.xvrwphe@gmail.com,594400,45,Abogado,Vivienda,Conservador,Inversión,CDF,Intermedio,6,Ambos,838855,466787,True,85
Néstor,Urrutia,555742,Rckidll.ldhandy@outlook.com,555742,41,Locutores de radio y televisión y afines,Vacaciones,Arriesgado,Inversión,CDEARS,Ninguno,12,Ambos,852569,624819,True,66
Camila,Saavedra,478756,Vmjdjf.pbttzdzk@gmail.com,478756,49,Otros,Libertad financiera,Moderado,Ahorro,Opción ahorro,Básico,3,Jubilación,848739,808591,True,39
Juan pablo,Gelabert,608306,Tbtyftji.tynwpjht@gmail.com,608306,52,Chapistas y caldereros,Jubilación,Conservador,Ahorro,Opción ahorro,Ninguno,6,Ambos,335215,306192,True,2
Marcos,Mayol,912272,Gktyeqew.nwmkeu@yahoo.com,912272,29,Arquitecto,Educación,Moderado,Inversión,Otros,Básico,9,Ambos,757533,741082,True,15
