Nombres,Apellidos,id,email,user_id,age,occupation,FinancialGoals,RiskTolerance,FinancialPreference,FinancialOptions,FinalKnowledge,target_period,income_source,income_average,expenses_average,saving_plan,contribution
Cibjccko,Dibdahcw,897326,cibjccko.dibdahcw@outlook.com,897326,48,Conductor,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,OTROS,BASICO,1 año,dependiente,500961,402763,NO,29
Tgqngg,Cnwyca,918814,tgqngg.cnwyca@hotmail.com,918814,46,Ingeniero electricista,VACACIONES,MODERADO,INVERSION,CDF,AVANZADO,1 año,dependiente,854344,495184,SI,93
Gnyv,Tpvpuvn,943393,gnyv.tpvpuvn@hotmail.com,943393,68,Conserje,EDUCACION,ARRIESGADO,INVERSION,BONOS,INTERMEDIO,1 año,dependiente,853039,497328,SI,51
Trrqk,Mvnclfbq,423284,trrqk.mvnclfbq@outlook.com,423284,31,Ingeniero electricista,IMPREVISTOS,ARRIESGADO,AHORRO,,NINGUNO,1 mes,dependiente,897240,648880,NO,61
Qkbec,Okywleqgw,549818,qkbec.okywleqgw@gmail.com,549818,40,Contador,LIBERTAD_FINANCIERA,CONSERVADOR,AHORRO,,INTERMEDIO,5 meses,dependiente,567043,369242,NO,78
Xzinm,Mydofb,284626,xzinm.mydofb@outlook.com,284626,56,Fisioterapeuta,IMPREVISTOS,MODERADO,INVERSION,OTROS,AVANZADO,1 año,dependiente,896480,794120,SI,15
Ojguz,Jjleqhgkjx,144221,ojguz.jjleqhgkjx@outlook.com,144221,20,Directores general,OTROS,ARRIESGADO,AHORRO,,INTERMEDIO,1 mes,dependiente,593759,442407,NO,57
Qzcdyi,Rhbuxk,751315,qzcdyi.rhbuxk@gmail.com,751315,44,Controlador de tráfico aéreo,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,ETFS,INTERMEDIO,10 años,dependiente,772533,460363,NO,90
Iubnmgea,Adkbalizy,692785,iubnmgea.adkbalizy@yahoo.com,692785,45,Farmacéutico,EDUCACION,MODERADO,AHORRO,,AVANZADO,10 años,independiente,673414,591378,NO,53
Jqgbkk,Zyazlaihyr,828210,jqgbkk.zyazlaihyr@hotmail.com,828210,48,Ingeniero mecánico,VACACIONES,ARRIESGADO,AHORRO,,AVANZADO,1 año,ambos,821610,628730,SI,76
Wyqncv,Ngrvsf,847724,wyqncv.ngrvsf@hotmail.com,847724,29,Físicos,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,CDEARS,INTERMEDIO,1 mes,dependiente,425006,320156,SI,5
Qpybtz,Jbpyfa,840438,qpybtz.jbpyfa@yahoo.com,840438,29,Ingeniero mecánico,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,ACCIONES,INTERMEDIO,1 año,dependiente,517166,336764,SI,7
Scdprvx,Jkwrqgf,489311,scdprvx.jkwrqgf@gmail.com,489311,68,Catador,EDUCACION,MODERADO,INVERSION,CDF,AVANZADO,10 años,dependiente,411214,348598,NO,91
Fmssyc,Kthdz,995153,fmssyc.kthdz@hotmail.com,995153,62,,VACACIONES,CONSERVADOR,AHORRO,,NINGUNO,1 mes,jubilación,873863,653549,SI,82
Zvgawv,Skunspzrwr,249182,zvgawv.skunspzrwr@gmail.com,249182,37,Ingenieros de minas,VACACIONES,MODERADO,AHORRO,,AVANZADO,1 año,independiente,839994,587528,SI,88
Nxcij,Hzrkysie,499982,nxcij.hzrkysie@hotmail.com,499982,58,Policía,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,CDEARS,BASICO,1 mes,ambos,598465,474706,NO,76
Peqf,Jxswyia,919771,peqf.jxswyia@hotmail.com,919771,21,Ingeniero civil,VACACIONES,CONSERVADOR,AHORRO,,BASICO,1 mes,dependiente,772673,682545,SI,76
Tquch,Citnu,229883,tquch.citnu@gmail.com,229883,65,,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,CDEARS,BASICO,1 año,independiente,800738,721385,NO,29
Kdnvad,Mmexsnfmtg,601839,kdnvad.mmexsnfmtg@yahoo.com,601839,66,Ingeniero electricista,OTROS,MODERADO,AHORRO,,BASICO,1 año,independiente,456838,287598,SI,64
Tkntveg,Nhlenxr,951838,tkntveg.nhlenxr@gmail.com,951838,55,Cocinero,JUBILACION,MODERADO,INVERSION,OTROS,INTERMEDIO,10 años,independiente,479919,470751,NO,37
Buixu,Fjjapbd,361157,buixu.fjjapbd@gmail.com,361157,39,Físicos,OTROS,MODERADO,INVERSION,CDEARS,NINGUNO,1 año,dependiente,409758,312407,NO,18
Booq,Btuzjmoaeg,784032,booq.btuzjmoaeg@yahoo.com,784032,25,Ingeniero civil,OTROS,MODERADO,AHORRO,,AVANZADO,1 mes,independiente,674163,534638,NO,14
Kwve,Eqfwqjzv,345648,kwve.eqfwqjzv@yahoo.com,345648,45,,VIVIENDA,ARRIESGADO,INVERSION,ACCIONES,AVANZADO,10 años,ambos,336871,186908,SI,62
Nqjqx,Ogvolqta,177895,nqjqx.ogvolqta@gmail.com,177895,58,Coreógrafo,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,CDF,AVANZADO,10 años,ambos,728913,486046,SI,69
Ojkcg,Otcwhoctq,912660,ojkcg.otcwhoctq@gmail.com,912660,57,Agente de seguros,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,BASICO,5 meses,ambos,774874,420994,SI,21
Lzzoyvsd,Nabblszqq,978824,lzzoyvsd.nabblszqq@hotmail.com,978824,59,Agente de bolsa,VACACIONES,CONSERVADOR,INVERSION,ETFS,AVANZADO,10 años,independiente,612253,504070,NO,84
Frlvg,Mkxoqymmxf,985550,frlvg.mkxoqymmxf@yahoo.com,985550,46,Gerentes de empresas,EDUCACION,MODERADO,AHORRO,,BASICO,1 mes,independiente,706492,432468,SI,19
Ntgkebe,Oerhdghm,553100,ntgkebe.oerhdghm@gmail.com,553100,49,,EDUCACION,CONSERVADOR,AHORRO,,NINGUNO,1 año,independiente,774548,598907,NO,76
Jdfavxc,Iuumxvapr,243659,jdfavxc.iuumxvapr@gmail.com,243659,61,Arquitecto,EDUCACION,MODERADO,AHORRO,,NINGUNO,1 mes,dependiente,361294,325479,SI,58
Sixykahh,Pyqni,884773,sixykahh.pyqni@yahoo.com,884773,44,Conductor,VIVIENDA,CONSERVADOR,INVERSION,BONOS,NINGUNO,5 meses,independiente,546621,305678,NO,100
Hliafs,Jbkainy,201084,hliafs.jbkainy@outlook.com,201084,41,Controlador de tráfico aéreo,EDUCACION,ARRIESGADO,INVERSION,CDEARS,AVANZADO,10 años,dependiente,335579,199831,NO,45
Nkumxjv,Zoxzb,590713,nkumxjv.zoxzb@gmail.com,590713,56,Músico,OTROS,ARRIESGADO,INVERSION,ETFS,AVANZADO,1 mes,independiente,440719,293234,NO,84
Dzuujovj,Nffiuvoea,155071,dzuujovj.nffiuvoea@outlook.com,155071,32,Modelos de moda,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,INTERMEDIO,1 mes,dependiente,700058,442873,SI,27
Sihecxmr,Srtgi,349811,sihecxmr.srtgi@hotmail.com,349811,19,Agrónomo,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,CDF,NINGUNO,1 año,independiente,599770,503437,NO,99
Vqsaaj,Uonaxx,669775,vqsaaj.uonaxx@yahoo.com,669775,41,Agente de seguros,OTROS,CONSERVADOR,INVERSION,OTROS,AVANZADO,1 mes,dependiente,603429,511925,SI,11
Rtpw,Mfqpwxgwqn,676269,rtpw.mfqpwxgwqn@gmail.com,676269,29,Ingeniero civil,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,ETFS,NINGUNO,5 meses,ambos,698104,401885,NO,9
Rikz,Udrkw,752064,rikz.udrkw@hotmail.com,752064,34,Chapistas y caldereros,OTROS,CONSERVADOR,AHORRO,,INTERMEDIO,5 meses,independiente,428120,307520,NO,17
Sgdzclwi,Pshcwnf,340458,sgdzclwi.pshcwnf@gmail.com,340458,49,Operador,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,CDEARS,BASICO,1 mes,dependiente,517752,498045,NO,11
Kfwloscv,Chhbgft,445580,kfwloscv.chhbgft@gmail.com,445580,62,Ingeniero mecánico,IMPREVISTOS,ARRIESGADO,INVERSION,ETFS,INTERMEDIO,1 año,ambos,740281,640856,SI,82
Shbdwagj,Iesnr,556361,shbdwagj.iesnr@yahoo.com,556361,53,Actor,EDUCACION,CONSERVADOR,AHORRO,,NINGUNO,10 años,independiente,647309,370533,SI,88
Vswqxp,Hcylbkmi,110331,vswqxp.hcylbkmi@hotmail.com,110331,64,Dentista,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,OTROS,BASICO,1 año,ambos,725715,382787,NO,36
Elcu,Pdaxt,311297,elcu.pdaxt@hotmail.com,311297,21,Fisioterapeuta,IMPREVISTOS,CONSERVADOR,AHORRO,,INTERMEDIO,5 meses,dependiente,886044,568504,SI,84
Nhwa,Msgem,641401,nhwa.msgem@gmail.com,641401,30,Sociólogos,JUBILACION,CONSERVADOR,AHORRO,,BASICO,1 año,dependiente,564612,365442,NO,61
Euzlbgoh,Fpmddxod,825245,euzlbgoh.fpmddxod@outlook.com,825245,67,Conserje,LIBERTAD_FINANCIERA,CONSERVADOR,AHORRO,,NINGUNO,1 año,independiente,368566,243128,NO,36
Bsoabgbu,Voexo,949996,bsoabgbu.voexo@yahoo.com,949996,55,,VACACIONES,ARRIESGADO,AHORRO,,AVANZADO,1 mes,jubilación,686570,414602,SI,11
Dzaqb,Nkhqp,707040,dzaqb.nkhqp@gmail.com,707040,70,Veterinario,VACACIONES,MODERADO,INVERSION,ACCIONES,AVANZADO,1 año,independiente,434227,251070,NO,70
Bmhm,Pxuiw,936399,bmhm.pxuiw@yahoo.com,936399,51,Profesionales del trabajo social,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,ETFS,INTERMEDIO,5 meses,independiente,494522,436436,NO,15
Gxjjatc,Jgfpey,442536,gxjjatc.jgfpey@yahoo.com,442536,42,Operadores de equipos ópticos y electrónicos,EDUCACION,ARRIESGADO,INVERSION,CDEARS,BASICO,10 años,independiente,688340,444799,SI,55
Acndc,Hyhqvjbdwq,903129,acndc.hyhqvjbdwq@hotmail.com,903129,26,Fisioterapeuta,JUBILACION,MODERADO,INVERSION,CDEARS,INTERMEDIO,1 año,ambos,416918,322829,NO,11
Wpknrk,Cxvhch,401972,wpknrk.cxvhch@hotmail.com,401972,34,Ingeniero químico,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,ACCIONES,INTERMEDIO,1 año,dependiente,363652,290846,NO,17
Vdqqjbat,Qlgygda,689992,vdqqjbat.qlgygda@hotmail.com,689992,41,Escritor,VACACIONES,CONSERVADOR,AHORRO,,BASICO,5 meses,dependiente,419096,211493,NO,28
Dlaghs,Gddglr,252016,dlaghs.gddglr@outlook.com,252016,25,Estadístico,PROYECTOS_LARGO_PLAZO,MODERADO,AHORRO,,AVANZADO,10 años,dependiente,875512,530632,NO,94
Qcocpo,Tsoiiuzbl,688938,qcocpo.tsoiiuzbl@yahoo.com,688938,58,Programador informático,IMPREVISTOS,CONSERVADOR,AHORRO,,NINGUNO,10 años,jubilación,605203,327375,SI,36
Dkvgr,Mzrlz,229906,dkvgr.mzrlz@outlook.com,229906,27,Agentes comerciales y corredores,EDUCACION,MODERADO,AHORRO,,AVANZADO,1 año,ambos,289943,238574,SI,50
Pblbuuec,Roxhekkz,912393,pblbuuec.roxhekkz@yahoo.com,912393,60,,EDUCACION,MODERADO,AHORRO,,INTERMEDIO,1 mes,independiente,747584,401565,NO,12
Xqaxfafg,Wrkphdkve,432656,xqaxfafg.wrkphdkve@yahoo.com,432656,49,Bombero,EDUCACION,ARRIESGADO,AHORRO,,AVANZADO,1 mes,jubilación,750159,521983,SI,48
Adngxfs,Hszjzdom,576958,adngxfs.hszjzdom@gmail.com,576958,58,Locutores de radio y televisión y afines,VACACIONES,CONSERVADOR,INVERSION,OTROS,NINGUNO,1 mes,ambos,703299,489927,NO,74
Eqlaorfr,Cplmycgilk,788097,eqlaorfr.cplmycgilk@yahoo.com,788097,42,Cocinero,JUBILACION,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,independiente,681168,380123,SI,2
Ynoo,Vlkagajtf,435107,ynoo.vlkagajtf@gmail.com,435107,32,Cartógrafos y agrimensores,EDUCACION,CONSERVADOR,INVERSION,OTROS,NINGUNO,10 años,ambos,696231,444518,SI,81
Dfqv,Whfscwe,330305,dfqv.whfscwe@gmail.com,330305,45,Arquitecto,JUBILACION,MODERADO,INVERSION,ACCIONES,INTERMEDIO,1 año,ambos,573913,494705,NO,56
Pzvedagc,Gyzna,192722,pzvedagc.gyzna@hotmail.com,192722,19,Estudiante,JUBILACION,ARRIESGADO,AHORRO,,NINGUNO,5 meses,independiente,398598,326268,SI,19
Lfcxfwy,Uxjlysfuv,422985,lfcxfwy.uxjlysfuv@yahoo.com,422985,55,Farmacéutico,OTROS,MODERADO,INVERSION,ACCIONES,NINGUNO,1 mes,dependiente,601699,505479,SI,10
Ngmw,Ekxughfpui,610560,ngmw.ekxughfpui@hotmail.com,610560,24,Geólogo,JUBILACION,MODERADO,AHORRO,,INTERMEDIO,10 años,dependiente,407859,315893,SI,91
Viveuig,Zjfqpgsc,260225,viveuig.zjfqpgsc@hotmail.com,260225,69,Arquitecto,JUBILACION,CONSERVADOR,AHORRO,,BASICO,10 años,jubilación,291725,273032,NO,77
Zsyew,Sffvswtgg,367403,zsyew.sffvswtgg@hotmail.com,367403,55,Biólogo,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,ETFS,INTERMEDIO,10 años,jubilación,409576,261854,SI,91
Hfcs,Pqvdluc,279731,hfcs.pqvdluc@outlook.com,279731,49,Piloto,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,ACCIONES,INTERMEDIO,1 año,independiente,719176,684462,SI,33
Gecbipzl,Jisnaeqxt,741358,gecbipzl.jisnaeqxt@outlook.com,741358,51,Estadístico,IMPREVISTOS,CONSERVADOR,AHORRO,,BASICO,10 años,ambos,497814,251326,NO,6
Ycpst,Tafzblszcq,752654,ycpst.tafzblszcq@yahoo.com,752654,23,,LIBERTAD_FINANCIERA,MODERADO,INVERSION,ACCIONES,INTERMEDIO,1 mes,dependiente,324120,282689,SI,36
Zogr,Quoqqj,664579,zogr.quoqqj@hotmail.com,664579,35,Ingenieros de minas,VACACIONES,ARRIESGADO,AHORRO,,NINGUNO,1 año,independiente,873286,604612,NO,8
Mzpzyn,Ssyphqdri,431842,mzpzyn.ssyphqdri@gmail.com,431842,32,Directores general,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,CDF,NINGUNO,10 años,dependiente,824131,807836,SI,15
Gexd,Ynwmoyv,915429,gexd.ynwmoyv@yahoo.com,915429,62,Operador,IMPREVISTOS,MODERADO,INVERSION,OTROS,INTERMEDIO,1 mes,jubilación,376824,373930,SI,84
Iyucjr,Pnalfkur,733080,iyucjr.pnalfkur@gmail.com,733080,38,Veterinario,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,NINGUNO,1 año,independiente,487277,340109,SI,83
Johgh,Uwktyw,545768,johgh.uwktyw@yahoo.com,545768,25,Cartógrafos y agrimensores,EDUCACION,ARRIESGADO,INVERSION,CDEARS,BASICO,1 mes,independiente,768305,696541,SI,53
Wourrwj,Jmlgqyc,352086,wourrwj.jmlgqyc@yahoo.com,352086,53,Dentista,OTROS,CONSERVADOR,INVERSION,CDF,NINGUNO,5 meses,dependiente,613620,493460,NO,19
Btqcjr,Hofjsvbjva,489169,btqcjr.hofjsvbjva@hotmail.com,489169,36,Cocinero,VACACIONES,CONSERVADOR,AHORRO,,BASICO,1 año,independiente,535604,487695,NO,56
Zqpbjiuf,Ewguoisxvb,237217,zqpbjiuf.ewguoisxvb@hotmail.com,237217,66,Técnicos en seguridad aeronáutica,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,BONOS,AVANZADO,1 año,dependiente,758405,414844,SI,50
Xtry,Pmfjot,667521,xtry.pmfjot@outlook.com,667521,50,,IMPREVISTOS,MODERADO,INVERSION,CDEARS,BASICO,5 meses,dependiente,556395,467235,SI,61
Tfuu,Hfzikvp,790203,tfuu.hfzikvp@outlook.com,790203,32,Veterinario,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,NINGUNO,10 años,independiente,811962,733498,SI,63
Vlrw,Uehwqdhmv,252745,vlrw.uehwqdhmv@outlook.com,252745,28,Agentes público,OTROS,MODERADO,AHORRO,,AVANZADO,1 mes,dependiente,504672,427515,NO,83
Saimsy,Ctinec,336955,saimsy.ctinec@yahoo.com,336955,47,Actor,VACACIONES,CONSERVADOR,AHORRO,,BASICO,5 meses,independiente,747652,489452,SI,18
Srojkk,Ibvrkltlnz,919912,srojkk.ibvrkltlnz@hotmail.com,919912,21,Personal doméstico,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,INTERMEDIO,1 mes,dependiente,388370,233856,NO,60
Bwcr,Awlpe,179964,bwcr.awlpe@gmail.com,179964,62,Contador,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,AVANZADO,5 meses,independiente,718752,655131,NO,10
Vosouu,Wcnyx,810384,vosouu.wcnyx@yahoo.com,810384,70,Conductor,VACACIONES,ARRIESGADO,AHORRO,,AVANZADO,10 años,independiente,635550,500182,SI,52
Sxnwll,Pnbihk,847403,sxnwll.pnbihk@outlook.com,847403,42,Mozos y taberneros,VACACIONES,CONSERVADOR,AHORRO,,BASICO,10 años,ambos,521863,508954,NO,49
Omoeidi,Yqdbjqh,615319,omoeidi.yqdbjqh@hotmail.com,615319,29,Mecánico,VIVIENDA,CONSERVADOR,INVERSION,ETFS,NINGUNO,1 año,independiente,483025,283211,SI,85
Ychctz,Tgkhrlla,200070,ychctz.tgkhrlla@gmail.com,200070,50,Veterinario,OTROS,MODERADO,AHORRO,,INTERMEDIO,5 meses,independiente,765220,408134,SI,27
Wqdxpkcn,Nyputwzh,137471,wqdxpkcn.nyputwzh@gmail.com,137471,64,Creadores y analistas de sistemas informáticos,JUBILACION,ARRIESGADO,INVERSION,BONOS,AVANZADO,10 años,dependiente,435171,225444,NO,89
Hebaf,Uubmb,215038,hebaf.uubmb@yahoo.com,215038,30,Sociólogos,VIVIENDA,CONSERVADOR,INVERSION,CDEARS,AVANZADO,10 años,dependiente,721996,476711,SI,89
Qcuaxjxl,Xtetvrsow,266211,qcuaxjxl.xtetvrsow@yahoo.com,266211,37,Fisioterapeuta,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,CDF,BASICO,1 año,ambos,642037,550332,SI,5
Ibxfvs,Ncwtdqjlel,260066,ibxfvs.ncwtdqjlel@yahoo.com,260066,37,Locutores de radio y televisión y afines,JUBILACION,ARRIESGADO,AHORRO,,BASICO,5 meses,dependiente,647534,638411,SI,91
Vqcxh,Vqiixfbz,129863,vqcxh.vqiixfbz@outlook.com,129863,56,Cocinero,JUBILACION,MODERADO,AHORRO,,AVANZADO,10 años,independiente,355286,304917,NO,6
Qcosfckj,Ycglqdaef,385310,qcosfckj.ycglqdaef@gmail.com,385310,31,Agentes comerciales y corredores,OTROS,CONSERVADOR,INVERSION,BONOS,INTERMEDIO,10 años,independiente,701593,678307,SI,51
